Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Eccentric Braking Impulse [N s],2023-10-24,Forward,10.34493971842173,2.400336951005458e-20,5050.0,2.9890527816858347e-10,0.20689879436843195
Eccentric Braking Impulse [N s],2023-10-24,Guard,21.335686189791655,1.8284201740675063e-74,20100.0,3.13904535604795e-54,1.0752448702528163
Eccentric Braking Impulse [N s],2023-10-24,,,,,,
Eccentric Braking Impulse [N s],2023-10-25,Forward,14.981709725447834,7.477273499787683e-30,0.0,3.8656013718456175e-24,2.2354498092155235
Eccentric Braking Impulse [N s],2023-10-25,Guard,4.169390405034315,4.256658628080424e-05,8385.0,3.3010282222740267e-09,0.17001613454289072
Eccentric Braking Impulse [N s],2023-10-25,,,,,,
Eccentric Braking Impulse [N s],2023-09-20,Forward,42.84523809523808,7.671609509067711e-84,0.0,3.451216741169581e-27,2.4043154280855603
Eccentric Braking Impulse [N s],2023-09-20,Guard,20.01733759289577,2.311462583184981e-66,13203.0,2.015389980274731e-56,0.5606645378253358
Eccentric Braking Impulse [N s],2023-09-20,,,,,,
Eccentric Braking Impulse [N s],2023-10-18,Forward,29.011966448746833,2.040667897507862e-73,0.0,9.640853349783355e-37,2.9011966448746866
Eccentric Braking Impulse [N s],2023-10-18,Guard,1.4533180632267284,0.14718069654539365,20301.0,0.10380124205124477,0.0952741585405582
Eccentric Braking Impulse [N s],2023-10-18,,,,,,
Force at Zero Velocity / BM [N/kg],2023-09-19,Forward,34.005976236506484,1.6697966003236734e-140,0.0,2.585323155539255e-98,1.4434716662202625
Force at Zero Velocity / BM [N/kg],2023-09-19,Guard,37.7871546641621,4.2083228159431514e-194,19481.0,2.188820741313241e-139,0.8139783440135755
Force at Zero Velocity / BM [N/kg],2023-09-19,,,,,,
Force at Zero Velocity / BM [N/kg],2023-09-26,Forward,inf,0.0,0.0,1.523970604832094e-23,53277329689008.266
Force at Zero Velocity / BM [N/kg],2023-09-26,Guard,-0.9429292309759433,0.34614190709574344,60252.0,0.0008307258755072101,-0.042414846183040145
Force at Zero Velocity / BM [N/kg],2023-09-26,,,,,,
Force at Zero Velocity / BM [N/kg],2023-09-27,Forward,0.09890313117254583,0.921318905081632,8256.0,0.1849099400161699,0.002055286916783096
Force at Zero Velocity / BM [N/kg],2023-09-27,Guard,-1.46602818519166,0.14336809646128462,39465.0,0.003828301531130597,-0.06828994156847427
Force at Zero Velocity / BM [N/kg],2023-09-27,,,,,,
Force at Zero Velocity / BM [N/kg],2023-10-03,Forward,10.475583526290027,1.1731308180184105e-23,57722.0,1.2291973549412647e-12,0.2509965869033917
Force at Zero Velocity / BM [N/kg],2023-10-03,Guard,27.26945518459848,2.7573976694584615e-127,77224.0,7.758711962139623e-119,0.6160633193988868
Force at Zero Velocity / BM [N/kg],2023-10-03,,,,,,
Force at Zero Velocity / BM [N/kg],2023-10-04,Forward,4.200384869732319,8.542400045025032e-05,528.0,0.000559890647739198,0.7386359494648811
Force at Zero Velocity / BM [N/kg],2023-10-04,Guard,7.083323917446062,8.574690661647708e-11,1688.0,6.104265417529629e-09,0.42399107818604975
Force at Zero Velocity / BM [N/kg],2023-10-04,,,,,,
Force at Zero Velocity / BM [N/kg],2023-10-10,Forward,,,0.0,1.0,
Force at Zero Velocity / BM [N/kg],2023-10-10,Guard,0.8378137280859294,0.4492772911059646,5.0,0.625,0.2869823455680878
Force at Zero Velocity / BM [N/kg],2023-10-10,,,,,,
Force at Zero Velocity / BM [N/kg],2023-10-11,Forward,7.124829831076801e+16,0.0,0.0,1.523970604832094e-23,42361699434352.2
Force at Zero Velocity / BM [N/kg],2023-10-11,Guard,-4.4361137081997954,1.127819378907447e-05,40100.0,2.4935850364438685e-12,-0.1254845371751641
Force at Zero Velocity / BM [N/kg],2023-10-11,,,,,,
Force at Zero Velocity / BM [N/kg],2023-10-17,Forward,72.50363975537894,7.935166696583697e-229,0.0,3.05837865032028e-70,1.5497011337870628
